dv,spec,term,coef,se,ci_lo,ci_hi,p,n
Q,Joint (E + SG combined),Corporate_E_share_lag,0.02789959690491073,0.05878021851565839,-0.08730751438917415,0.14310670819899562,0.635041722954883,183
Q,Joint (E + SG combined),Corporate_SG_share_lag,0.032031867607951826,0.0328671076442679,-0.032386479650814363,0.09645021486671801,0.32976498696295276,183
Q,E alone,Corporate_E_share_lag,0.02668188909983288,0.05918394763834085,-0.08931651673421959,0.14268029493388534,0.6521121995952674,183
Q,SG alone,Corporate_SG_share_lag,0.03166491199703792,0.03252698280494082,-0.0320868028263997,0.09541662682047555,0.3303064754704709,183
ROE,Joint (E + SG combined),Corporate_E_share_lag,0.004589159822836482,0.045475195009887115,-0.08454058458647784,0.09371890423215082,0.9196174028773606,183
ROE,Joint (E + SG combined),Corporate_SG_share_lag,0.004750504539211341,0.01927716980869906,-0.0330320540097017,0.04253306308812438,0.8053481173595046,183
ROE,E alone,Corporate_E_share_lag,0.004408566966803737,0.04541598542924566,-0.08460512879691362,0.0934222627305211,0.9226701533170032,183
ROE,SG alone,Corporate_SG_share_lag,0.004690144600962584,0.019203833661473563,-0.03294867774062356,0.04232896694254873,0.8070530040753533,183
