dv,spec,sample,term,coef,se,ci_lo,ci_hi,p_raw,n,std_coef,std_se,std_ci_lo,std_ci_hi,mde_std_80pct_power,equiv_within_0.10SD,equiv_within_0.20SD,"BF01_N(0,0.1)","BF01_N(0,0.5)",p_holm,p_bh
Q,E share+specificity,full (incl. thin firm-years),Corporate_E_share_lag,0.025049605126124863,0.06428409043228706,-0.10094489690007363,0.15104410715232336,0.6967803113096007,151,0.018979814572528456,0.04870735926675291,-0.07648485537236051,0.11444448451741741,0.13645781773505267,True,True,2.147744694350855,9.566740996950365,1.0,0.9429616766879364
Q,E share+specificity,full (incl. thin firm-years),Specificity_E_mean_lag,-0.004531354148372108,0.007018818238280661,-0.018287985109435075,0.00922527681269086,0.5185379672312393,151,-0.032744002004754476,0.050718657368202774,-0.13215074379065897,0.06666273978115,0.1420926407652933,False,True,1.8730624960903925,8.061946973696376,1.0,0.9429616766879364
Q,E share+specificity,excl. <5-sentence firm-years,Corporate_E_share_lag,-0.029519497891074147,0.12754234927744507,-0.2794979089784947,0.2204589131963464,0.816966314357097,85,-0.022323955248249684,0.09645318860207447,-0.21136873110236487,0.16672082060586552,0.27022182742743406,False,True,1.4206012747810546,5.144846957218165,1.0,0.9429616766879364
Q,E share+specificity,excl. <5-sentence firm-years,Specificity_E_mean_lag,-0.006115702906297956,0.014945773052560164,-0.03540887981042514,0.023177473997829226,0.6823981688177134,85,-0.036602003033473676,0.08944928146265389,-0.2119193731432616,0.13871536707631427,0.2505997847165975,False,True,1.431777411206292,5.236036767251984,1.0,0.9429616766879364
Q,SG share+specificity,full (incl. thin firm-years),Corporate_SG_share_lag,0.022101791838668255,0.03489758909341581,-0.04629622593170453,0.09049980960904104,0.5265162629863629,174,0.03367721870118792,0.053174590939137616,-0.07054306443217169,0.13789750183454752,0.14897314795429173,False,True,1.821657143559211,7.755004794424014,1.0,0.9429616766879364
Q,SG share+specificity,full (incl. thin firm-years),Specificity_SG_mean_lag,0.004053904838141737,0.006924506997483035,-0.009517879487620598,0.01762568916390407,0.5582498159645674,174,0.02191280368868691,0.03742943372749181,-0.05144753837892582,0.09527314575629964,0.10486174825328004,True,True,2.4545800279411853,11.296895889277193,1.0,0.9429616766879364
Q,SG share+specificity,excl. <5-sentence firm-years,Corporate_SG_share_lag,-0.00844565570733356,0.038215422181665286,-0.08334650683739062,0.06645519542272349,0.8250914671019444,137,-0.01264432107327522,0.05721380136253468,-0.12478131116247186,0.09949266901592142,0.16028934016932875,False,True,1.9769711824694307,8.586679825150101,1.0,0.9429616766879364
Q,SG share+specificity,excl. <5-sentence firm-years,Specificity_SG_mean_lag,0.0051835631683977736,0.012024366399247446,-0.018383761911040793,0.02875088824783634,0.6664041978399182,137,0.024100198537531946,0.0559054858782525,-0.08547254032205556,0.13367293739711944,0.15662398284793552,False,True,1.9092258797166033,8.210275132142085,1.0,0.9429616766879364
ROE,E share+specificity,full (incl. thin firm-years),Corporate_E_share_lag,0.002192152731170502,0.05023778211131958,-0.09627209087018647,0.10065639633252747,0.9651949221555305,151,0.0022752677714202646,0.05214253775305427,-0.09992222828708618,0.1044727638299267,0.14608176300385423,True,True,2.1612578433253065,9.632025769935609,1.0,0.9651949221555305
ROE,E share+specificity,full (incl. thin firm-years),Specificity_E_mean_lag,-0.006825123659875591,0.003560298502184962,-0.013803180498370015,0.0001529331786188342,0.05523681009891463,151,-0.06755926282996168,0.03524201966863955,-0.13663235212294741,0.0015138264630240594,0.09873352136010706,False,True,0.5868450719845489,2.2852348433400618,0.8837889615826341,0.8837889615826341
ROE,E share+specificity,excl. <5-sentence firm-years,Corporate_E_share_lag,0.025448885979969898,0.09742020438072567,-0.16549120597278363,0.2163889779327234,0.7939166801109999,85,0.024482288582260626,0.09371999855981743,-0.15920553322612727,0.2081701103906485,0.26256456260675315,False,True,1.4360393157038516,5.251952252847413,1.0,0.9429616766879364
ROE,E share+specificity,excl. <5-sentence firm-years,Specificity_E_mean_lag,-0.01041685950155401,0.01032357291110867,-0.030650690599100326,0.009816971595992305,0.31295723999784486,85,-0.07930787973463736,0.07859765015970743,-0.23335644331714278,0.07474068384786804,0.22019801486585072,False,False,1.1813630672675273,3.918348759853588,1.0,0.9429616766879364
ROE,SG share+specificity,full (incl. thin firm-years),Corporate_SG_share_lag,0.0010118093672087276,0.021619018696316446,-0.041360688658669584,0.04338430739308703,0.9626711804798698,174,0.001974817091131986,0.042195307731501104,-0.08072646637919467,0.08467610056145863,0.11821375041430134,True,True,2.569880421496212,11.87885444738222,1.0,0.9651949221555305
ROE,SG share+specificity,full (incl. thin firm-years),Specificity_SG_mean_lag,-0.004313990703454354,0.0051258419004711125,-0.01436045621882408,0.005732474811915371,0.40000291440044766,174,-0.029869162909308397,0.035490249584899373,-0.09942877389804877,0.03969044807943198,0.09942895862419399,True,True,2.182973087427887,9.929196013239826,1.0,0.9429616766879364
ROE,SG share+specificity,excl. <5-sentence firm-years,Corporate_SG_share_lag,0.008218149311108864,0.026790457237457353,-0.04429018200366798,0.060726480625885704,0.7590286522011481,137,0.016944938550308552,0.05523903672688703,-0.09132158397507532,0.12521146107569242,0.15475686875684608,False,True,1.9949197547769235,8.69302953952667,1.0,0.9429616766879364
ROE,SG share+specificity,excl. <5-sentence firm-years,Specificity_SG_mean_lag,-0.006242051912788922,0.008261777551779065,-0.022434838362557392,0.009950734536979547,0.44992877980621715,137,-0.03996901355449021,0.05290169059226899,-0.14365442183661883,0.0637163947276384,0.14820859437648665,False,True,1.71104492632979,7.166969635637127,1.0,0.9429616766879364
