Company,Year,Total Assets (Million USD),Total Liabilities (Million USD),Total Equity (Million USD),Leverage,Revenue Growth YoY (%),"Net Income, Adj",ROA,ROE,ROE_sign_flip_risk,Size,Region
AIG,2012,548633.0,449630.0,99003.0,4.541579548094502,8.6607,6074.5,0.011072064567752943,0.0613567265638415,0,13.215185008793538,N. America
AIG,2013,541329.0,440218.0,101111.0,4.353809180010088,-4.7897,6545.0,0.012090614025851192,0.06473084036356085,0,13.201782506077503,N. America
AIG,2014,515581.0,408309.0,107272.0,3.80629614438064,-4.653,7908.0,0.01533803611847605,0.07371914385860243,0,13.153049699096654,N. America
AIG,2015,496842.0,406632.0,90210.0,4.507615563684736,-9.5387,3728.0,0.007503391420210046,0.041325795366367366,0,13.116027347090814,N. America
AIG,2016,498264.0,421406.0,76858.0,5.4829165473991,-5.9086,-911.3077,-0.001828965568453671,-0.011857031148351505,0,13.118885336024494,N. America
AIG,2017,498301.0,432593.0,65708.0,6.583566688987642,-7.302,-11200.7692,-0.022477918366609742,-0.17046279296280514,0,13.11895959109068,N. America
AIG,2018,491984.0,434675.0,57309.0,7.584759810849953,-5.5878,1140.6076,0.002318383524667469,0.01990276570870195,0,13.106201474620445,N. America
AIG,2019,525064.0,457637.0,67427.0,6.787147581829237,3.0679,2174.962,0.004142279798272211,0.03225654411437555,0,13.171275438905884,N. America
AIG,2020,586481.0,519282.0,67199.0,7.7275257072277865,-8.5369,1926.3418,0.003284576652952099,0.02866622717599964,0,13.281895550983997,N. America
AIG,2021,596112.0,527200.0,68912.0,7.6503366612491295,8.0118,3107.5823,0.005213084621681832,0.0450949370211284,0,13.298183847855924,N. America
AIG,2022,522228.0,478774.0,43454.0,11.017950016108989,-5.2908,1547.1266,0.002962550073914076,0.03560377870851936,0,13.165859553112652,N. America
AIG,2023,539306.0,488005.0,51301.0,9.512582600729031,-34.9331,2809.59,0.00520963979633084,0.05476676867897312,0,13.19803840679653,N. America
AIG,2024,161322.0,118772.0,42550.0,2.7913513513513513,-5.148,2485.33,0.015406020257621403,0.0584096357226792,0,11.991157646629274,N. America
AXA,2012,1005400.0000000001,931577.5497,73851.7317,12.614159861331999,17.2309,4953.4583,0.004926853292222001,0.06707301489045517,0,13.820896030240611,Europe
