dv,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_lo_hc3,ci_hi_hc3,n
Q,Corporate_ESG_share_lag,0.05576291948426865,0.04093847359594876,0.1731615140797157,0.03635659437083907,0.12508444706669922,-0.024475014345834878,0.13600085331437217,183
Q,Positive_Specific_share_lag,-0.0625673816156781,0.06842613896213715,0.3605180618164179,0.05764571794910227,0.2777543677005716,-0.19668014958259986,0.07154538635124366,183
ROE,Corporate_ESG_share_lag,0.03877183893816705,0.028214595320283323,0.16938683845722435,0.02372572479635937,0.10222341428451961,-0.016527751727960616,0.09407142960429471,183
ROE,Positive_Specific_share_lag,-0.08602719276418064,0.0472032497778199,0.06838149804583082,0.043418462407890025,0.04755197931859145,-0.17854386228195596,0.006489476753594681,183
