dv,term,se_source,coef,se,ci_lo,ci_hi,p,n,sd_dv,sd_predictor,std_coef,std_se,std_ci_lo,std_ci_hi,mde_raw_80pct_power,mde_std_80pct_power,min_equivalence_bound_std,equivalent_within_0.05SD,equivalent_within_0.1SD,equivalent_within_0.2SD,"BF01_prior_N(0,0.1)","BF01_prior_N(0,0.5)"
"CAR[-1,+1]",Specificity,"cluster(firm) [primary, as reported]",-0.003963369072294546,0.003556240128526349,-0.010933471644582284,0.003006733499993191,0.2650720449676054,209,0.031988310276238795,0.35204633485279047,-0.04361873270332234,0.03913808801692428,-0.1203279756402526,0.03309051023360793,0.009963109776139581,0.10964868885341938,0.1079951587299062,False,False,True,1.6012628398467772,6.912366720807358
"CAR[-1,+1]",Specificity,HC3 [comparison],-0.003963369072294546,0.007702211518648479,-0.01905942625015512,0.011132688105566026,0.6068497137152611,209,0.031988310276238795,0.35204633485279047,-0.04361873270332234,0.08476644474138714,-0.2097579114939458,0.12252044608730112,0.021578401937425017,0.23748041857945998,0.18304712677997453,False,False,True,1.4318505099285028,5.260264506999425
"CAR[-1,+1]",Specificity,"pairs-cluster bootstrap [pulled in, Step 9.3]",-0.004,0.004,-0.0131,0.003,,209,0.031988310276238795,0.35204633485279047,-0.04402187321714128,0.04402187321714128,-0.13030315925472657,0.04225941282044403,0.011206340872451873,0.1233310292787862,0.11643141104355399,False,False,True,1.632671993815488,6.942267236977739
"CAR[-1,+1]",Sentiment,"cluster(firm) [primary, as reported]",-0.02786156081742109,0.019319372854087958,-0.06572683581533428,0.010003714180492097,0.1492582045209832,209,0.031988310276238795,0.17522273220325693,-0.15261758960435337,0.10582594912683706,-0.360032638522722,0.05479745931401525,0.054124869411225775,0.2964804147665217,0.3266857858512133,False,False,False,0.8424165630416157,1.7849716416975996
"CAR[-1,+1]",Sentiment,HC3 [comparison],-0.02786156081742109,0.022484124148296744,-0.07192963437201003,0.016206512737167847,0.2152840515693477,209,0.031988310276238795,0.17522273220325693,-0.15261758960435337,0.12316154340256757,-0.39400977895375255,0.08877459974504578,0.062991189856085,0.34504755943661214,0.3552003009710078,False,False,False,0.9494574972436252,2.0273253290339137
"CAR[-1,+1]",Sentiment,"pairs-cluster bootstrap [pulled in, Step 9.3]",-0.0279,0.0183,-0.0638,0.0084,,209,0.031988310276238795,0.17522273220325693,-0.15282814835337674,0.10024211881242992,-0.3492990909597244,0.04364279425297091,0.05126900949146732,0.28083683829722755,0.3177117610553025,False,False,False,0.7911065349221456,1.6643647387176628
