term,variant,coef,se,p,n
Specificity,"baseline (cluster SE, N=209)",-0.003963369072294546,0.003556240128526349,0.2650720449676054,209
Specificity,excl. 14 Cook's-distance-flagged obs,-0.0026505306408830735,0.005356453865766365,0.6207205773578006,195
Sentiment,"baseline (cluster SE, N=209)",-0.02786156081742109,0.019319372854087958,0.1492582045209832,209
Sentiment,excl. 14 Cook's-distance-flagged obs,-0.012169595497039741,0.01267409614554198,0.33695741042993854,195
