Company,Year,total_sent,esg_sent,esg_ratio,ESG_n_sent,ESG_share_pos,ESG_share_neg,ESG_share_neu,ESG_sent_index,Corporate_ESG_share,Verified_ESG_share,Specificity_mean,ESGSentiment_Corporate,Verified_ESG_share_allrelevance,Specificity_mean_allrelevance,cluster,cluster_2d_legacy,cluster_3d,Total Assets (Million USD)_x,Total Liabilities (Million USD)_x,Total Equity (Million USD),Leverage,Revenue Growth YoY (%),"Net Income, Adj",ROA,ROE,ROE_sign_flip_risk,Size,Region,Market Capitalization (Million USD),Total Assets (Million USD)_y,Total Liabilities (Million USD)_y,Tobins Q,SR_CEO_Letter
AIG,2012,41,9,0.2195121951219512,9.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.1707317073170731,0.024390243902439,1.1428571428571428,0.5714285714285714,0.024390243902439,1.1428571428571428,2.0,2.0,2.0,548633.0,449630.0,99003.0,4.541579548094502,8.6607,6074.5,0.0110720645677529,0.0613567265638415,0,13.215185008793538,N. America,52114.1643,548633.0,449630.0,0.9145351524607525,0
AIG,2013,22,6,0.2727272727272727,6.0,1.0,0.0,0.0,1.0,0.0909090909090909,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,541329.0,440218.0,101111.0,4.353809180010088,-4.7897,6545.0,0.0120906140258511,0.0647308403635608,0,13.201782506077503,N. America,74740.4326,541329.0,440218.0,0.9512855077041872,0
AIG,2014,90,8,0.0888888888888888,8.0,0.625,0.0,0.375,0.625,0.0333333333333333,0.0111111111111111,1.3333333333333333,1.0,0.0111111111111111,1.3333333333333333,1.0,2.0,1.0,515581.0,408309.0,107272.0,3.80629614438064,-4.653,7908.0,0.015338036118476,0.0737191438586024,0,13.153049699096654,N. America,77065.6696,515581.0,408309.0,0.9414130264691678,0
AIG,2015,102,27,0.2647058823529412,27.0,0.1851851851851851,0.037037037037037,0.7777777777777778,0.1481481481481481,0.2352941176470588,0.0196078431372549,1.125,0.0833333333333333,0.0196078431372549,1.125,2.0,1.0,2.0,496842.0,406632.0,90210.0,4.507615563684736,-9.5387,3728.0,0.00750339142021,0.0413257953663673,0,13.116027347090814,N. America,73987.0128,496842.0,406632.0,0.9673477942686004,1
AIG,2016,85,8,0.0941176470588235,8.0,0.5,0.125,0.375,0.375,0.0352941176470588,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,498264.0,421406.0,76858.0,5.4829165473991,-5.9086,-911.3077,-0.0018289655684536,-0.0118570311483515,0,13.118885336024494,N. America,65005.3838,498264.0,421406.0,0.9762121762760304,1
AIG,2017,96,17,0.1770833333333333,17.0,0.4705882352941176,0.0,0.5294117647058824,0.4705882352941176,0.0833333333333333,0.03125,1.625,0.875,0.03125,1.5,1.0,2.0,1.0,498301.0,432593.0,65708.0,6.583566688987642,-7.302,-11200.7692,-0.0224779183666097,-0.1704627929628051,0,13.11895959109068,N. America,53565.0807,498301.0,432593.0,0.9756313567502372,1
AIG,2018,75,7,0.0933333333333333,7.0,0.8571428571428571,0.0,0.1428571428571428,0.8571428571428571,0.08,0.0,1.0,0.8333333333333334,0.0133333333333333,1.1428571428571428,2.0,2.0,2.0,491984.0,434675.0,57309.0,7.584759810849953,-5.5878,1140.6076,0.0023183835246674,0.0199027657087019,0,13.106201474620445,N. America,34153.0776,491984.0,434675.0,0.9529335864580962,1
AIG,2019,61,15,0.2459016393442623,15.0,0.6,0.0,0.4,0.6,0.1967213114754098,0.081967213114754,1.5,0.5833333333333334,0.081967213114754,1.4285714285714286,0.0,2.0,0.0,525064.0,457637.0,67427.0,6.787147581829237,3.0679,2174.962,0.0041422797982722,0.0322565441143755,0,13.171275438905884,N. America,44657.0503,525064.0,457637.0,0.9566339537656362,1
AIG,2020,50,19,0.38,19.0,0.5263157894736842,0.0526315789473684,0.4210526315789473,0.4736842105263157,0.28,0.12,1.5714285714285714,0.6428571428571429,0.12,1.4444444444444444,0.0,0.0,0.0,586481.0,519282.0,67199.0,7.727525707227786,-8.5369,1926.3418,0.003284576652952,0.0286662271759996,0,13.281895550983997,N. America,32618.5877,586481.0,519282.0,0.9410374550923218,1
AIG,2021,96,41,0.4270833333333333,41.0,0.3658536585365853,0.073170731707317,0.5609756097560976,0.2926829268292683,0.3229166666666667,0.0625,1.2580645161290325,0.3870967741935484,0.1041666666666666,1.4054054054054057,0.0,0.0,0.0,596112.0,527200.0,68912.0,7.6503366612491295,8.0118,3107.5823,0.0052130846216818,0.0450949370211284,0,13.298183847855924,N. America,46550.5635,596112.0,527200.0,0.9624878605027244,1
AIG,2022,80,19,0.2375,19.0,0.631578947368421,0.0526315789473684,0.3157894736842105,0.5789473684210527,0.175,0.075,1.5,0.6428571428571429,0.075,1.4375,1.0,2.0,1.0,522228.0,478774.0,43454.0,11.017950016108989,-5.2908,1547.1266,0.002962550073914,0.0356037787085193,0,13.165859553112652,N. America,46426.2583,522228.0,478774.0,1.0056914954770713,0
AIG,2023,112,10,0.0892857142857142,10.0,0.5,0.1,0.4,0.4,0.0714285714285714,0.0089285714285714,1.25,0.5,0.0178571428571428,1.4444444444444444,2.0,2.0,2.0,539306.0,488005.0,51301.0,9.512582600729033,-34.9331,2809.59,0.0052096397963308,0.0547667686789731,0,13.19803840679653,N. America,46668.8945,539306.0,488005.0,0.9914109883813644,0
AXA,2016,42,14,0.3333333333333333,14.0,0.5,0.0,0.5,0.5,0.3095238095238095,0.0476190476190476,1.1538461538461535,0.5384615384615384,0.0476190476190476,1.1538461538461535,0.0,0.0,0.0,941618.2301,861587.5941,80030.636,10.765722192936217,9.7871,7143.4723,0.0075863785042069,0.0892592219309615,0,13.75535519550969,Europe,61197.1627,941618.2301,861587.5941,0.9799988225610288,1
AXA,2017,36,9,0.25,9.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.6666666666666667,0.2222222222222222,0.1111111111111111,1.75,0.875,0.1111111111111111,1.6666666666666667,1.0,2.0,1.0,1046100.0,955583.0964,90484.7852,10.560704700661654,8.3106,6219.1157,0.0059450489436956,0.0687310655184049,0,13.860579521331852,Europe,70888.6445,1046100.0,955583.0964,0.9812367277506931,1
AXA,2018,41,9,0.2195121951219512,9.0,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.1707317073170731,0.0975609756097561,1.8571428571428568,0.8571428571428571,0.1219512195121951,1.8888888888888888,1.0,2.0,1.0,1065800.0,981944.8688,83887.0452,11.705560333647323,-20.0929,6368.6222,0.0059754383561643,0.0759190192575766,0,13.87923624884482,Europe,40328.927,1065800.0,981944.8688,0.9591610018765248,1
AXA,2019,42,8,0.1904761904761904,8.0,0.875,0.0,0.125,0.875,0.1904761904761904,0.119047619047619,2.125,0.875,0.119047619047619,2.125,1.0,2.0,1.0,876847.9062,793049.2479,83798.6583,9.463746365256542,24.7752,7299.0605,0.0083242036029166,0.0871023551936749,0,13.684088831228932,Europe,68169.3776,876847.9062,793049.2479,0.9821756081191632,1
AXA,2020,47,20,0.425531914893617,20.0,0.65,0.1,0.25,0.55,0.3617021276595745,0.0851063829787234,1.2941176470588236,0.7647058823529411,0.0851063829787234,1.25,0.0,0.0,0.0,983610.0525,890484.8925,93125.16,9.56223745011552,-14.6057,4711.2414,0.0047897450702396,0.050590424757391,0,13.79898480938175,Europe,57686.8583,983610.0525,890484.8925,0.9639711879622131,1
AXA,2021,58,27,0.4655172413793103,27.0,0.7777777777777778,0.037037037037037,0.1851851851851851,0.7407407407407407,0.4137931034482758,0.1896551724137931,1.75,0.875,0.1896551724137931,1.72,0.0,0.0,0.0,882974.0526,797318.3132,85655.7394,9.30840500338965,10.8681,11785.4357,0.01334743151885,0.1375907298513145,0,13.69105109365037,Europe,72197.2418,882974.0526,797318.3132,0.9847577654627898,1
AXA,2022,43,16,0.3720930232558139,16.0,0.5625,0.0625,0.375,0.5,0.2558139534883721,0.1162790697674418,1.4545454545454546,0.7272727272727273,0.1162790697674418,1.3846153846153846,0.0,0.0,0.0,683744.1827,631163.8837,52580.299,12.003809329802404,-29.1649,5230.5801,0.0076499080099595,0.0994779451520426,0,13.43533912474795,Europe,65632.0739,683744.1827,631163.8837,1.0190886814546056,1
AXA,2023,20,7,0.35,7.0,0.5714285714285714,0.0,0.4285714285714285,0.5714285714285714,0.3,0.1,1.3333333333333333,0.6666666666666666,0.1,1.3333333333333333,0.0,0.0,0.0,712947.564,654972.204,57975.36,11.297423664122135,-5.2418,7411.4424,0.0103954943872983,0.127837798678611,0,13.477163153915033,Europe,74071.1274,712947.564,654972.204,1.0225763691647876,1
Allianz,2012,37,3,0.081081081081081,3.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.081081081081081,0.054054054054054,1.6666666666666667,0.3333333333333333,0.054054054054054,1.6666666666666667,2.0,1.0,2.0,916461.7059,846566.4348,69895.2711,12.11192719445651,9.9158,6949.9789,0.0075834907833654,0.0994341790313193,0,13.72827556241024,Europe,62675.7507,916461.7059,846566.4348,0.9921223981825732,0
Allianz,2013,50,2,0.04,2.0,0.5,0.5,0.0,0.0,0.04,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,981128.717,908255.2309,72873.4861,12.46345247781415,-0.0556,8092.8703,0.0082485306563501,0.1110537005035635,0,13.796458939930028,Europe,81554.4452,981128.717,908255.2309,1.0088479309081315,0
Allianz,2014,103,10,0.0970873786407767,10.0,0.4,0.2,0.4,0.2,0.0388349514563106,0.0097087378640776,1.25,0.25,0.0097087378640776,1.1666666666666667,2.0,1.0,2.0,975002.27,897922.85,77079.42,11.649320272518915,1.4576,8287.4266,0.0084999049284264,0.1075180197256284,0,13.790195078182402,Europe,75493.0715,975002.27,897922.85,0.9983729796854728,1
Allianz,2015,84,12,0.1428571428571428,12.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.1071428571428571,0.0595238095238095,1.5555555555555556,0.5555555555555556,0.0595238095238095,1.5555555555555556,1.0,2.0,1.0,922460.3772,850637.2038,71823.1734,11.843492337251698,6.6311,7726.5812,0.0083760575423878,0.1075778308620376,0,13.73479970242966,Europe,80828.2688,922460.3772,850637.2038,1.0097620403245218,1
Allianz,2016,40,9,0.225,9.0,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,0.175,0.075,1.7142857142857142,0.8571428571428571,0.075,1.7142857142857142,1.0,2.0,1.0,932153.3523,858181.9678,73971.3845,11.601539887360092,0.6428,8088.3609,0.0086770710849698,0.1093444573827058,0,13.745252621226747,Europe,75353.7109,932153.3523,858181.9678,1.0014829388282402,1
Allianz,2017,44,7,0.1590909090909091,7.0,0.8571428571428571,0.1428571428571428,0.0,0.7142857142857142,0.0909090909090909,0.0227272727272727,1.5,1.0,0.0227272727272727,1.4,1.0,2.0,1.0,1083500.0,1001100.0,82473.3244,12.138470314893723,-0.3008,8407.5101,0.0077595847715736,0.1019421753781032,0,13.895707099958551,Europe,101039.5078,1083500.0,1001100.0,1.0172030528841718,1
Allianz,2018,59,12,0.2033898305084746,12.0,0.5,0.0,0.5,0.5,0.1525423728813559,0.1186440677966101,2.2222222222222223,0.5555555555555556,0.1186440677966101,2.2222222222222223,1.0,2.0,1.0,1027900.0,954968.5376,72925.1908,13.09518051476939,-4.1315,9204.6198,0.0089547813989687,0.1262200304040891,0,13.843028444001014,Europe,84941.1378,1027900.0,954968.5376,1.0116837001653858,1
Allianz,2019,42,8,0.1904761904761904,8.0,0.75,0.0,0.25,0.75,0.1904761904761904,0.0952380952380952,1.75,0.75,0.0952380952380952,1.75,1.0,2.0,1.0,1135500.0,1048600.0,86872.0356,12.070627708417598,9.8963,9224.8034,0.008124001232937,0.106188410761725,0,13.94258364052775,Europe,102161.9547,1135500.0,1048600.0,1.013440735094672,1
Allianz,2020,42,9,0.2142857142857142,9.0,0.7777777777777778,0.0,0.2222222222222222,0.7777777777777778,0.2142857142857142,0.119047619047619,2.111111111111111,0.7777777777777778,0.119047619047619,2.111111111111111,1.0,2.0,1.0,1295900.0,1192400.0,103418.61,11.529839745477144,-0.6593,8433.5169,0.0065078454356045,0.0815473820427484,0,14.074715992423506,Europe,101097.7668,1295900.0,1192400.0,0.9981462819662013,1
Allianz,2021,49,18,0.3673469387755102,18.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.4444444444444445,0.3061224489795918,0.1632653061224489,1.8666666666666667,0.6,0.1836734693877551,1.8823529411764703,0.0,0.0,0.0,1297400.0,1201500.0,95895.1692,12.52930684646,5.8149,11787.2153,0.0090852592107291,0.1229177173191744,0,14.075872819761091,Europe,96515.3727,1297400.0,1201500.0,1.0004743122398645,1
Allianz,2022,39,12,0.3076923076923077,12.0,0.8333333333333334,0.0,0.1666666666666666,0.8333333333333334,0.3076923076923077,0.1794871794871795,2.0,0.8333333333333334,0.1794871794871795,2.0,1.0,2.0,1.0,1002400.0,939528.2182,62911.0585,14.934230016174345,-35.8955,7504.0813,0.0074861146249002,0.1192807986214379,0,13.817907682563996,Europe,86415.5582,1002400.0,939528.2182,1.0234874066241022,1
Allianz,2023,38,12,0.3157894736842105,12.0,0.8333333333333334,0.0833333333333333,0.0833333333333333,0.75,0.2894736842105263,0.131578947368421,1.9090909090909087,0.7272727272727273,0.1578947368421052,2.0,1.0,2.0,1.0,1087800.0,1019700.0,68109.984,14.971373359888032,4.3899,9812.7173,0.0090206998529141,0.144071643006112,0,13.899667865970995,Europe,104790.912,1087800.0,1019700.0,1.0337294649751794,1
Allstate,2012,51,16,0.3137254901960784,16.0,0.4375,0.0,0.5625,0.4375,0.1568627450980392,0.0784313725490196,2.0,0.75,0.1176470588235294,2.1,1.0,0.0,1.0,126947.0,106367.0,20580.0,5.16846452866861,3.0696,2581.0,0.0203313193695006,0.1254130223517978,0,11.751524955502674,N. America,19241.43,126947.0,106367.0,0.9894556783539586,1
Allstate,2013,49,9,0.1836734693877551,9.0,0.5555555555555556,0.0,0.4444444444444444,0.5555555555555556,0.1836734693877551,0.0408163265306122,1.4444444444444444,0.5555555555555556,0.0408163265306122,1.4444444444444444,0.0,2.0,0.0,123520.0,102040.0,21480.0,4.750465549348231,2.4626,3505.0,0.0283759715025906,0.1631750465549348,0,11.724158365258605,N. America,24488.46,123520.0,102040.0,1.0243560556994815,1
Allstate,2014,49,9,0.1836734693877551,9.0,0.5555555555555556,0.0,0.4444444444444444,0.5555555555555556,0.1836734693877551,0.0408163265306122,1.4444444444444444,0.5555555555555556,0.0408163265306122,1.4444444444444444,0.0,2.0,0.0,108479.0,86175.0,22304.0,3.863656743185079,1.9337,3250.7,0.0299661685671881,0.1457451578192252,0,11.594311884842648,N. America,29364.5,108479.0,86175.0,1.0650863300731015,1
Allstate,2015,44,7,0.1590909090909091,7.0,0.1428571428571428,0.1428571428571428,0.7142857142857143,0.0,0.1363636363636363,0.0227272727272727,1.1666666666666667,0.1666666666666666,0.0227272727272727,1.1666666666666667,2.0,1.0,2.0,104656.0,84631.0,20025.0,4.226267166042447,3.1618,2140.0,0.0204479437394893,0.1068664169787765,0,11.558434060200996,N. America,23656.29,104656.0,84631.0,1.0346973895428837,1
Allstate,2016,55,20,0.3636363636363636,20.0,0.6,0.05,0.35,0.5499999999999999,0.3272727272727272,0.1272727272727272,1.6666666666666667,0.5,0.1272727272727272,1.6666666666666667,0.0,0.0,0.0,108610.0,88037.0,20573.0,4.27924950177417,5.2466,1836.5,0.0169091243900193,0.089267486511447,0,11.595518763274082,N. America,27127.92,108610.0,88037.0,1.0603528220237548,1
Allstate,2017,16,10,0.625,10.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.0625,1.25,2.0,0.0,2.0,112422.0,89871.0,22551.0,3.985233470799521,3.9451,2458.85,0.0218716087598512,0.1090350760498425,0,11.630014926826568,N. America,37172.05,112422.0,89871.0,1.130055060397431,1
Allstate,2018,25,9,0.36,9.0,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,0.32,0.16,1.75,0.5,0.16,1.6666666666666667,0.0,0.0,0.0,112249.0,90937.0,21312.0,4.266938813813814,4.4179,1435.93,0.0127923634063555,0.0673765953453453,0,11.62847489687885,N. America,27433.16,112249.0,90937.0,1.0545319780131672,1
Allstate,2019,34,18,0.5294117647058824,18.0,0.5,0.0,0.5,0.5,0.4117647058823529,0.1470588235294117,1.5,0.5714285714285714,0.1470588235294117,1.4666666666666666,0.0,0.0,0.0,119950.0,93952.0,25998.0,3.613816447419032,-1.6993,3057.53,0.0254900375156315,0.1176063543349488,0,11.69483026826784,N. America,35871.55,119950.0,93952.0,1.08231388078366,1
Allstate,2020,45,21,0.4666666666666667,21.0,0.5238095238095238,0.0952380952380952,0.3809523809523809,0.4285714285714286,0.4,0.1333333333333333,1.6111111111111112,0.5,0.1333333333333333,1.55,0.0,0.0,0.0,125987.0,95770.0,30217.0,3.169407949167687,2.0473,4668.121,0.0370524022319763,0.1544865804017606,0,11.743934006007574,N. America,33418.72,125987.0,95770.0,1.025413098176796,0
