outcome,model,fixed_effects,covariance,term,N,firms,coefficient,SE,p_value,CI95_low,CI95_high,R_squared
"CAR[-1,+1]",M1_specificity,pooled,HC3,Specificity_mean,62,7,-0.005757031056377575,0.007999624147417384,0.47452670506112427,-0.02175866181538925,0.0102445997026341,0.003153228500194505
"CAR[-1,+1]",M1_specificity,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.005757031056377575,0.014997259667611857,0.7143080159302087,-0.04245400347175563,0.030939941359000484,0.003153228500194505
"CAR[-1,+1]",M1_specificity,firm_FE,HC3,Specificity_mean,61,6,-0.019321966812702884,0.015039747559904712,0.20437158501422,-0.049474845195132705,0.010830911569726934,0.1387886793370373
"CAR[-1,+1]",M1_specificity,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.019321966812702884,0.02298374368230618,0.43886839746750195,-0.07840356083736005,0.03975962721195429,0.1387886793370373
"CAR[-1,+1]",M1_specificity,firm_year_FE,HC3,Specificity_mean,61,6,-0.021110774592993754,0.021455357153376663,0.33064940716061525,-0.06437962599585537,0.022158076809867856,0.31520184247389793
"CAR[-1,+1]",M1_specificity,firm_year_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.021110774592993754,0.023324452323676862,0.406913080994184,-0.08106818806240272,0.03884663887641522,0.31520184247389793
"CAR[-1,+1]",M2_overall_sentiment,pooled,HC3,Overall_sentiment,62,7,-0.01835754845441856,0.02087878172265997,0.38277670499514543,-0.060121330060566434,0.023406233151729315,0.019787616138943753
"CAR[-1,+1]",M2_overall_sentiment,pooled,firm_cluster_CR1,Overall_sentiment,62,7,-0.01835754845441856,0.02046110346859933,0.4041766499822659,-0.0684240650192379,0.03170896811040078,0.019787616138943753
"CAR[-1,+1]",M2_overall_sentiment,firm_FE,HC3,Overall_sentiment,61,6,-0.017301403452660444,0.03650209971612057,0.6374223978647676,-0.0904837071488857,0.05588090024356482,0.11700539679579147
"CAR[-1,+1]",M2_overall_sentiment,firm_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.017301403452660444,0.03547364641519818,0.6463770026352166,-0.10848931457135415,0.07388650766603326,0.11700539679579147
"CAR[-1,+1]",M2_overall_sentiment,firm_year_FE,HC3,Overall_sentiment,61,6,-0.01901694792606109,0.04539289778995389,0.6773446043126783,-0.11056045079940703,0.07252655494728484,0.2922227803351901
"CAR[-1,+1]",M2_overall_sentiment,firm_year_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.01901694792606109,0.0379624300965117,0.6376817182959884,-0.11660248116876741,0.07856858531664522,0.2922227803351901
"CAR[-1,+1]",M2b_ESG_sentiment,pooled,HC3,ESG_sentiment,62,7,-0.005277069662345087,0.0117546874573822,0.6550971554329803,-0.02878994538180504,0.018235806057114865,0.0027017352786061766
"CAR[-1,+1]",M2b_ESG_sentiment,pooled,firm_cluster_CR1,ESG_sentiment,62,7,-0.005277069662345087,0.008890125048336025,0.5744675225579102,-0.027030422001279336,0.01647628267658916,0.0027017352786061766
"CAR[-1,+1]",M2b_ESG_sentiment,firm_FE,HC3,ESG_sentiment,61,6,0.0032529590046033183,0.018600817322030918,0.8618259644871084,-0.0340394343877061,0.04054535239691273,0.11019421535754337
"CAR[-1,+1]",M2b_ESG_sentiment,firm_FE,firm_cluster_CR1,ESG_sentiment,61,6,0.0032529590046033183,0.012057174398614354,0.7980991220732004,-0.027740994493573947,0.034246912502780585,0.11019421535754337
"CAR[-1,+1]",M2b_ESG_sentiment,firm_year_FE,HC3,ESG_sentiment,61,6,0.012651438549223668,0.023847819938709672,0.598489643595326,-0.03544227388976189,0.06074515098820923,0.29089240268540784
"CAR[-1,+1]",M2b_ESG_sentiment,firm_year_FE,firm_cluster_CR1,ESG_sentiment,61,6,0.012651438549223668,0.011146709853947084,0.30784016026926053,-0.016002091328441024,0.041304968426888355,0.29089240268540784
"CAR[-1,+1]",M3_specificity_overall,pooled,HC3,Specificity_mean,62,7,-0.0042345732287057125,0.008603171963303692,0.6243969878391019,-0.02144948056417496,0.012980334106763535,0.021473319559647264
"CAR[-1,+1]",M3_specificity_overall,pooled,HC3,Overall_sentiment,62,7,-0.017769694917406785,0.021048762827636732,0.4019590546883378,-0.059888172049984006,0.024348782215170436,0.021473319559647264
"CAR[-1,+1]",M3_specificity_overall,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.0042345732287057125,0.01574974774660708,0.7970388167798148,-0.0427728176424225,0.03430367118501108,0.021473319559647264
"CAR[-1,+1]",M3_specificity_overall,pooled,firm_cluster_CR1,Overall_sentiment,62,7,-0.017769694917406785,0.01990722927138284,0.40643160688532237,-0.06648093014501368,0.030941540310200105,0.021473319559647264
"CAR[-1,+1]",M3_specificity_overall,firm_FE,HC3,Specificity_mean,61,6,-0.018218059040876988,0.014919737753513561,0.2274634316121142,-0.04814326329117963,0.011707145209425653,0.14212044611105634
"CAR[-1,+1]",M3_specificity_overall,firm_FE,HC3,Overall_sentiment,61,6,-0.011876615004242598,0.03861990635036022,0.7596484646120276,-0.08933833750602874,0.06558510749754354,0.14212044611105634
"CAR[-1,+1]",M3_specificity_overall,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.018218059040876988,0.020766470039461585,0.4204801361954266,-0.07159996971460268,0.0351638516328487,0.14212044611105634
"CAR[-1,+1]",M3_specificity_overall,firm_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.011876615004242598,0.031016040919515566,0.7175186503701144,-0.09160588640530197,0.06785265639681677,0.14212044611105634
