Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]","CAR[0,+5]","CAR[0,+20]",total_sentences,positive_share,negative_share,Overall_sentiment,ESG_sentences,ESG_positive_share,ESG_negative_share,ESG_sentiment,Specificity_mean,Specificity_all_flagged_mean,specificity_sentences_classified,specificity_primary_sentences,source_company,_merge,exclusion_reason,regression_eligible,COVID_period
The Progressive Corporation,2013,2014-04-17,221,4.863066985195368e-05,0.2317964740204937,-0.0040256026273373,-0.0109592086171308,-0.0069222094330131,0.0040256026273373,-0.009695640075097944,0.05381759818503889,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
The Progressive Corporation,2014,2015-04-16,221,0.0003666116258398,0.65152043329756,0.0043695453299364,0.0037159346587669,-0.0112765494517207,0.0043695453299364,-0.020067773381654292,-0.012519171303064323,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
The Progressive Corporation,2015,2016-04-14,221,0.0013096508997013,0.6799925401634598,-0.0494431345674798,-0.0428238297125208,-0.039288639281634,0.0494431345674798,-0.07354474600300503,-0.055785430350947796,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
The Progressive Corporation,2016,2017-04-13,221,0.0005853767151729,0.5577474907643738,0.0014528329470033,-0.0150650946529353,0.006210984559835,0.0014528329470033,-0.0007220284762490983,-0.009998093394668523,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
The Progressive Corporation,2017,2018-04-12,221,0.0013979172799804,0.6911998073058548,-0.0086612112799258,-0.0050992093966504,-0.0040208908080683,0.0086612112799258,-0.00012629798205943902,-0.006439417235250255,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
The Progressive Corporation,2018,2019-04-11,221,0.0010184007953927,0.9964110026975712,0.0024436967697827,-0.005149263604536,-0.0005521957502426,0.0024436967697827,0.028746925321844672,0.006962432989270724,184.0,0.4891304347826087,0.0326086956521739,0.4565217391304348,29.0,0.3103448275862069,0.1034482758620689,0.2068965517241379,1.434782608695652,1.2758620689655171,29.0,23.0,Progressive,both,,True,False
The Progressive Corporation,2019,2020-04-09,221,0.0004056140316189,0.8563057444964005,-0.0086129189907798,0.0061125707008614,-0.0170081600411318,0.0086129189907798,0.024109647598861063,-0.10782211272186153,183.0,0.3224043715846995,0.0437158469945355,0.2786885245901639,50.0,0.3,0.06,0.24,1.4871794871794872,1.24,50.0,39.0,Progressive,both,,True,True
The Progressive Corporation,2020,2021-04-08,221,-0.0002513134191903,0.6423672041685577,-0.0041641344601157,-0.0061325114963407,-0.008549906872295,0.0041641344601157,0.033611951958741185,0.07251744988653233,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
The Progressive Corporation,2021,2022-04-07,221,0.0004023915765541,0.435763348342776,0.0411680086766424,0.0531353104320012,0.0127970356900866,0.0411680086766424,-0.036327716596216496,-0.032908885761457576,187.0,0.481283422459893,0.0374331550802139,0.4438502673796791,61.0,0.3934426229508196,0.0163934426229508,0.3770491803278688,1.4081632653061225,1.180327868852459,61.0,49.0,Progressive,both,,True,False
The Progressive Corporation,2022,2023-04-06,221,0.0011885059105375,0.5905206403381164,0.0294130476893156,0.0203301312996707,0.0124388124788277,0.0294130476893156,-0.08898221703900372,-0.1530987414738825,274.0,0.364963503649635,0.0766423357664233,0.2883211678832116,112.0,0.3660714285714285,0.0446428571428571,0.3214285714285714,1.6231884057971016,1.2589285714285714,112.0,69.0,Progressive,both,,True,False
The Progressive Corporation,2023,2024-04-04,221,0.0014740567320638,-0.0216523494993317,0.0007427619360413,-0.0048409437184114,-0.0018492382580527,0.0007427619360413,-0.04953531051504351,-0.03829352512643085,287.0,0.4355400696864111,0.0383275261324041,0.3972125435540069,122.0,0.4098360655737705,0.0081967213114754,0.4016393442622951,1.5092592592592593,1.360655737704918,122.0,108.0,Progressive,both,,True,False
"The Travelers Companies, Inc.",2012,2013-04-19,221,0.0014282202658467,0.2719238731609362,-0.0105478899378828,-0.0057070607880096,0.0028741322210687,0.0105478899378828,-0.0014329785146138304,-0.023742009634394726,113.0,0.3097345132743362,0.1327433628318584,0.1769911504424778,33.0,0.303030303030303,0.2424242424242424,0.0606060606060606,1.761904761904762,1.5454545454545454,33.0,21.0,Travelers,both,,True,False
