outcome,specification,scenario,predictor,covariance,N,firms,years,coefficient,SE,p_value,CI95_low,CI95_high,R_squared,inference_df,controls,standardization
"CAR[-2,+2]",firm_year_FE,main,Specificity_z,firm_cluster_CR1,61,6,12,-0.007825275367058479,0.0032697825388449692,0.062140427403169655,-0.01623051896789415,0.0005799682337771922,0.2546273150404602,5.0,,fixed pooled eligible sample; ddof=1
"CAR[0,+1]",firm_year_FE,main,Specificity_mean,HC3,61,6,12,-0.0159909557405518,0.015600549646383763,0.31108337009252707,-0.047452462516080325,0.015470551034976722,0.21559591378754572,43.0,,none
"CAR[0,+1]",firm_year_FE,main,Specificity_mean,firm_cluster_CR1,61,6,12,-0.0159909557405518,0.013674499955280391,0.29495110191692037,-0.05114237693700517,0.019160465455901568,0.21559591378754572,5.0,,none
"CAR[0,+1]",firm_year_FE,main,Specificity_z,HC3,61,6,12,-0.0036708179672146997,0.0035811979514861845,0.3110833700925263,-0.010892991939867551,0.003551356005438152,0.2155959137875456,43.0,,fixed pooled eligible sample; ddof=1
"CAR[0,+1]",firm_year_FE,main,Specificity_z,firm_cluster_CR1,61,6,12,-0.0036708179672146997,0.0031390619136807013,0.294951101916921,-0.01174003350346008,0.004398397569030679,0.2155959137875456,5.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_year_FE,exclude_most_influential,Specificity_mean,HC3,60,6,12,-0.0058334416399968315,0.013992446508692195,0.6788752304120587,-0.034071341916854375,0.02240445863686071,0.3766455375081047,42.0,,none
"CAR[-1,+1]",firm_year_FE,exclude_most_influential,Specificity_mean,firm_cluster_CR1,60,6,12,-0.0058334416399968315,0.012449281486343949,0.6590900895525157,-0.03783533849551604,0.02616845521552238,0.3766455375081047,5.0,,none
"CAR[-1,+1]",firm_year_FE,exclude_most_influential,Specificity_z,HC3,60,6,12,-0.00133910084739317,0.0032120484155392422,0.6788752304120448,-0.00782127698335989,0.00514307528857355,0.3766455375081047,42.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_year_FE,exclude_most_influential,Specificity_z,firm_cluster_CR1,60,6,12,-0.00133910084739317,0.0028578058060091415,0.6590900895524998,-0.008685324542096267,0.006007122847309927,0.3766455375081047,5.0,,fixed pooled eligible sample; ddof=1
"CAR[-1,+1]",firm_year_FE,exclude_March_April_2020,Specificity_mean,HC3,55,6,11,-0.009813700359064193,0.014172049178886875,0.49285327838967385,-0.0385035140074762,0.018876113289347813,0.4353253705957816,38.0,,none
